43,"""Someone like You""",Adele,Pop,Female
44,"""Scream""",Usher,Techno-pop,Male
45,"""Rack City""",Tyga,Hip hop,Male
46,"""Domino""",Jessie J,Electropop,Female
47,"""Gangnam Style""",Psy,K-pop,Male
48,"""International Love""",Pitbull featuring Chris Brown,Dance-pop,Male
49,"""Home""",Phillip Phillips,Folk rock,Male
50,"""Without You""",David Guetta featuring Usher,None,Male
51,"""Ass Back Home""",Gym Class Heroes featuring Neon Hitch,Pop-rap,Group
52,"""Wanted""",Hunter Hayes,Countrycountry pop,Male
53,"""Drunk on You""",Luke Bryan,Country,Male
54,"""No Lie""",2 Chainz featuring Drake,Hip hoptrap,Male
55,"""Want U Back""",Cher Lloyd,Pop,Female
56,"""Don't Wake Me Up""",Chris Brown,"Dance-pop, EDM",Male
57,"""Dance (A$$)""",Big Sean featuring Nicki Minaj,Hip hop,Male
58,"""Springsteen""",Eric Church,Countryheartland rock,Male
59,"""Brokenhearted""",Karmin,Dance-pop,Female
60,"""Not Over You""",Gavin DeGraw,Pop rockblue-eyed soul,Male
61,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,Pop-rap,Group
62,"""Back in Time""",Pitbull,Dancedubstep,Male
63,"""Work Out""",J. Cole,Hip hopR&B,Male
64,"""Rumour Has It""",Adele,Bluespopjazz,Female
65,"""Let's Go""",Calvin Harris featuring Ne-Yo,None,Male
66,"""Good Girl""",Carrie Underwood,Country rock,Female
67,"""Pontoon""",Little Big Town,Country,Group
68,"""Ho Hey""",The Lumineers,"Folk rock, alternative rock",Group
69,"""Paradise""",Coldplay,Alternative rock,Group
70,"""Blown Away""",Carrie Underwood,Country pop,Female
71,"""Rolling in the Deep""",Adele,Rhythm and bluessoul,Female
72,"""Climax""",Usher,Quiet storm,Male
73,"""Work Hard, Play Hard""",Wiz Khalifa,Hip hop,Male
74,"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,Europopdance-popsynth-pop,Male
75,"""Pound the Alarm""",Nicki Minaj,Eurodance,Female
76,"""Come Over""",Kenny Chesney,Country,Male
77,"""Heart Attack""",Trey Songz,R&B,Male
78,"""Drank in My Cup""",Kirko Bangz,"Pop-rap, chopped and screwed",Male
79,"""Birthday Cake""",Rihanna featuring Chris Brown,R&B,Female
80,"""So Good""",B.o.B,Pop-rap,Male
81,"""50 Ways to Say Goodbye""",Train,Pop rock,Group
82,"""Red Solo Cup""",Toby Keith,Country,Male
83,"""Love You like a Love Song""",Selena Gomez & the Scene,Electropopdance-pop,Group
84,"""Turn Up the Music""",Chris Brown,Electro house,Male
85,"""Die Young""",Kesha,Electropopdance-pop,Female
86,"""5 O'Clock""",T-Pain featuring Wiz Khalifa and Lily Allen,Hip hopR&B,Male
87,"""A Thousand Years""",Christina Perri,None,Female
88,"""Take a Little Ride""",Jason Aldean,Country,Male
89,"""You da One""",Rihanna,Pop,Female
90,"""We Run the Night""",Havana Brown featuring Pitbull,Dance-popEurodance,Female
91,"""It's Time""",Imagine Dragons,Alternative rock,Group
92,"""Cashin' Out""",Cash Out,Hip hop,Male
93,"""I Don't Want This Night to End""",Luke Bryan,Country,Male
94,"""Diamonds""",Rihanna,Pop,Female
95,"""Hard to Love""",Lee Brice,Country,Male
96,"""Somethin' 'Bout a Truck""",Kip Moore,"Country, country rock",Male
97,"""Adorn""",Miguel,R&Belectro soul,Male
98,"""Fly Over States""",Jason Aldean,Country,Male
99,"""Even If It Breaks Your Heart""",Eli Young Band,Country,Group
100,"""Burn It Down""",Linkin Park,Electronic rock,Group
1,"""How You Remind Me""",Nickelback,Post-grungealternative rockhard rock,Group
2,"""Foolish""",Ashanti,R&B,Female
3,"""Hot in Herre""",Nelly,Hip hop,Male
4,"""Dilemma""",Nelly featuring Kelly Rowland,Pop,Male
5,"""Wherever You Will Go""",The Calling,Post-grunge,Group
6,"""A Thousand Miles""",Vanessa Carlton,Pop,Female
7,"""In the End""",Linkin Park,Nu metal,Group
8,"""What's Luv?""",Fat Joe featuring Ashanti,None,Male
9,"""U Got It Bad""",Usher,R&B,Male
10,"""Blurry""",Puddle of Mudd,Post-grunge,Group
11,"""Complicated""",Avril Lavigne,Pop rock,Female
12,"""Always on Time""",Ja Rule featuring Ashanti,None,Male
13,"""Ain't It Funny (Murder Remix)""",Jennifer Lopez featuring Ja Rule,Hip hop,Female
14,"""The Middle""",Jimmy Eat World,Pop punk,Group
15,"""I Need a Girl (Part One)""",P. Diddy featuring Usher and Loon,None,Male
16,"""U Don't Have to Call""",Usher,None,Male
17,"""Family Affair""",Mary J. Blige,Hip hop,Female
18,"""I Need a Girl (Part Two)""","P. Diddy featuring Ginuwine, Loon and Mario Winans",Hip hoppop-rapR&B,Male
19,"""Gangsta Lovin'""",Eve featuring Alicia Keys,None,Female
20,"""My Sacrifice""",Creed,Hard rock,Group
21,"""Without Me""",Eminem,Comedy hip hop,Male
22,"""Hero""",Enrique Iglesias,Latin poppop,Male
23,"""All You Wanted""",Michelle Branch,Alternative rock,Female
24,"""Get the Party Started""",Pink,Dance-popelectro boogiedisco,Female
25,"""Hero""",Chad Kroeger featuring Josey Scott,"Alternative rock, post-grunge",Group
26,"""Wasting My Time""",Default,Post-grunge,Group
27,"""One Last Breath""",Creed,None,Group
28,"""Whenever, Wherever""",Shakira,Worldbeat,Female
29,"""I'm Gonna Be Alright""",Jennifer Lopez featuring Nas,Hip hop,Female
30,"""Oh Boy""",Cam'ron featuring Juelz Santana,Hip hop,Male
31,"""Heaven""",DJ Sammy featuring Yanou and Do,Power pop,Male
32,"""Hey Baby""",No Doubt featuring Bounty Killer,Dancehall,Group
33,"""Girlfriend""",'N Sync featuring Nelly,Pophip hopR&B,Group
34,"""Just a Friend 2002""",Mario,None,Male
35,"""Soak Up the Sun""",Sheryl Crow,Bubblegum pop,Female
36,"""Don't Let Me Get Me""",Pink,Rock,Female
37,"""Nothin'""",N.O.R.E.,None,Male
38,"""Oops (Oh My)""",Tweet featuring Missy Elliott,R&B,Group
39,"""A Moment Like This""",Kelly Clarkson,Pop,Female
40,"""Addictive""",Truth Hurts featuring Rakim,None,Female
41,"""Happy""",Ashanti,None,Female
42,"""No Such Thing""",John Mayer,Pop rock,Group
43,"""Just Like a Pill""",Pink,Pop rock,Female
44,"""Down 4 U""","Ja Rule featuring Ashanti, Charli Baltimore and Vita",Hip hop,Male
45,"""Can't Get You Out of My Head""",Kylie Minogue,Dance-pop,Female
46,"""Superman (It's Not Easy)""",Five for Fighting,Soft rockpiano rockpop rock,Male
47,"""Cleanin' Out My Closet""",Eminem,Hardcore hip hoprap rock,Male
48,"""Halfcrazy""",Musiq Soulchild,R&B,Group
49,"""Lights, Camera, Action!""",Mr. Cheeks,Hip hop,Male
50,"""Still Fly""",Big Tymers,Hip hop,Male
51,"""A Woman's Worth""",Alicia Keys,R&Bsoul,Female
52,"""7 Days""",Craig David,R&B,Male
53,"""Hey Ma""",Cam'ron featuring Juelz Santana and Freekey Zekey,"Hip hop, R&B",Male
54,"""Work It""",Missy Elliott,None,Female
55,"""Move Bitch""",Ludacris featuring Mystikal and I-20,Hip hop,Male
56,"""Can't Fight the Moonlight""",LeAnn Rimes,Pop,Female
57,"""Escape""",Enrique Iglesias,None,Male
58,"""More Than A Woman""",Aaliyah,Popelectrohip hopfunkR&B,Female
59,"""Hella Good""",No Doubt,Dance-punkelectro-funkpop rock,Group
60,"""I Love You""",Faith Evans,R&Bsoul,Female
61,"""Gotta Get thru This""",Daniel Bedingfield,UK garage,Male
62,"""Pass the Courvoisier, Part II""",Busta Rhymes featuring P. Diddy and Pharrell,Hip hop,Male
63,"""Lose Yourself""",Eminem,Hip hop,Male
64,"""Butterflies""",Michael Jackson,R&B,Male
65,"""What About Us?""",Brandy,electro-funk,Female
66,"""Underneath Your Clothes""",Shakira,Rock,Female
67,"""Rainy Dayz""",Mary J. Blige featuring Ja Rule,None,Female
68,"""Differences""",Ginuwine,R&B,Male
69,"""If I Could Go!""",Angie Martinez featuring Lil' Mo and Sacario,None,Female
70,"""The Whole World""",Outkast featuring Killer Mike,None,Group
71,"""Underneath It All""",No Doubt featuring Lady Saw,Reggae fusion,Group
72,"""Caramel""",City High featuring Eve,None,Group
73,"""Luv U Better""",LL Cool J,"Hip hop, R&B",Male
74,"""Gimme the Light""",Sean Paul,Dancehall,Male
75,"""Gone""",'N Sync,PopsoulR&B,Group
76,"""Livin' It Up""",Ja Rule featuring Case,None,Male
77,"""Rollout (My Business)""",Ludacris,"Hip hop, dirty rap, comedy rap",Male
78,"""Here Is Gone""",Goo Goo Dolls,None,Group
79,"""No More Drama""",Mary J. Blige,R&B,Female
80,"""Days Go By""",Dirty Vegas,House,Group
81,"""Baby""",Ashanti,None,Female
82,"""The Good Stuff""",Kenny Chesney,Country,Male
83,"""We Thuggin'""",Fat Joe featuring R. Kelly,Hip hop,Male
84,"""Good Morning Beautiful""",Steve Holy,Country popsoft rock,Male
85,"""Rock the Boat""",Aaliyah,R&B,Female
86,"""Drive (For Daddy Gene)""",Alan Jackson,Country,Male
87,"""Standing Still""",Jewel,Folk-pop,Female
88,"""Anything""",Jaheim featuring Next,R&B,Male
89,"""Full Moon""",Brandy,R&B,Female
90,"""Uh Huh""",B2K,Pop,Group
91,"""A New Day Has Come""",Celine Dion,None,Female
92,"""Turn Off the Light""",Nelly Furtado,Country,Female
93,"""Living and Living Well""",George Strait,Country,Male
94,"""My List""",Toby Keith,None,Male
95,"""Hands Clean""",Alanis Morissette,Punk rock,Female
96,"""Sk8er Boi""",Avril Lavigne,Bluegrass,Female
97,"""Long Time Gone""",Dixie Chicks,"Country, soft rock",Group
98,"""Where Were You (When the World Stopped Turning)""",Alan Jackson,R&B,Male
99,"""Like I Love You""",Justin Timberlake,None,Male
100,"""I Do!!""",Toya,,Female
1,"""End of the Road""",Boyz II Men,R&B,Group
2,"""Baby Got Back""",Sir Mix-a-Lot,Hip hop,Male
3,"""Jump""",Kris Kross,Hip hop,Group
4,"""Save the Best for Last""",Vanessa Williams,Popsoul,Female
5,"""Baby-Baby-Baby""",TLC,R&B,Group
6,"""Tears in Heaven""",Eric Clapton,Soft rock,Male
7,"""My Lovin' (You're Never Gonna Get It)""",En Vogue,Dance-popnew jack swingR&Bfunk,Group
8,"""Under the Bridge""",Red Hot Chili Peppers,Alternative rock,Group
9,"""All 4 Love""",Color Me Badd,New jack swing,Group
10,"""Just Another Day""",Jon Secada,Dance-popLatin popR&B,Male
11,"""I Love Your Smile""",Shanice,R&Bpopdancenew jack swing,Female
12,"""To Be with You""",Mr. Big,Glam metal,Group
13,"""I'm Too Sexy""",Right Said Fred,Dance-pop,Group
14,"""Black or White""",Michael Jackson,Pop rockhip hop,Male
15,"""Achy Breaky Heart""",Billy Ray Cyrus,Country,Male
16,"""I'll Be There""",Mariah Carey,Soul,Female
17,"""November Rain""",Guns N' Roses,Hard rock,Group
18,"""Life Is a Highway""",Tom Cochrane,None,Group
19,"""Remember the Time""",Michael Jackson,R&Bnew jack swing,Male
20,"""Finally""",CeCe Peniston,HousedanceR&BPop-soul,Female
21,"""This Used to Be My Playground""",Madonna,Pop,Female
22,"""Sometimes Love Just Ain't Enough""",Patty Smyth and Don Henley,Soft rock,Female
23,"""Can't Let Go""",Mariah Carey,R&Bsoul,Female
24,"""Jump Around""",House of Pain,Hip hop,Male
25,"""Diamonds and Pearls""",Prince and The New Power Generation,Pop,Male
26,"""Don't Let the Sun Go Down on Me""",George Michael and Elton John,None,Male
27,"""Masterpiece""",Atlantic Starr,R&B,Group
28,"""If You Asked Me To""",Celine Dion,None,Female
29,"""Giving Him Something He Can Feel""",En Vogue,R&Bsoul,Group
30,"""Live and Learn""",Joe Public,New jack swing,Group
31,"""Come and Talk to Me""",Jodeci,R&B,Group
32,"""Smells Like Teen Spirit""",Nirvana,Grunge,Group
33,"""Humpin' Around""",Bobby Brown,New jack swing,Male
34,"""Damn I Wish I Was Your Lover""",Sophie B. Hawkins,Rock,Female
35,"""Tell Me What You Want Me to Do""",Tevin Campbell,None,Male
36,"""Ain't 2 Proud 2 Beg""",TLC,Hip hop,Group
37,"""It's So Hard to Say Goodbye to Yesterday""",Boyz II Men,Soul,Group
38,"""Move This""",Technotronic featuring Ya Kid K,"Eurodance, hip house",Male
39,"""Bohemian Rhapsody""",Queen,Progressive rock,Group
40,"""Tennessee""",Arrested Development,Hip hop,Group
41,"""The Best Things in Life Are Free""",Luther Vandross and Janet Jackson,R&Bdance-pophouse,Male
42,"""Make It Happen""",Mariah Carey,House,Female
43,"""The One""",Elton John,None,Male
44,"""Set Adrift on Memory Bliss""",P.M. Dawn,Hip hop,Group
45,"""Stay""",Shakespears Sister,Pop,Group
46,"""2 Legit 2 Quit""",Hammer,Hip hop,Male
47,"""Please Don't Go""",KWS,None,Group
48,"""Breakin' My Heart (Pretty Brown Eyes)""",Mint Condition,R&B,Group
49,"""Wishing on a Star""",The Cover Girls,Soul/R&B,Group
50,"""She's Playing Hard to Get""",Hi-Five,New jack swing,Group
51,"""I'd Die Without You""",P.M. Dawn,R&B,Group
52,"""Good for Me""",Amy Grant,CCM,Female
53,"""All I Want""",Toad the Wet Sprocket,Alternative rock,Group
54,"""When a Man Loves a Woman""",Michael Bolton,Soul,Male
55,"""I Can't Dance""",Genesis,Blues rock,Group
56,"""Hazard""",Richard Marx,Soft rock,Male
57,"""Mysterious Ways""",U2,Alternative rockfunk rockalternative dance,Group
58,"""Too Funky""",George Michael,Dance-pop,Male
59,"""How Do You Talk to an Angel""",The Heights,Pop rock,Group
60,"""One""",U2,Rock,Group
61,"""Keep on Walkin'""",CeCe Peniston,R&B,Female
62,"""Hold on My Heart""",Genesis,Soft rock,Group
63,"""The Way I Feel About You""",Karyn White,New jack swing,Female
64,"""Beauty and the Beast""",Celine Dion and Peabo Bryson,Show tune,Female
65,"""Warm It Up""",Kris Kross,Hip hop,Group
66,"""In the Closet""",Michael Jackson,New jack swing,Male
67,"""People Everyday""",Arrested Development,None,Group
68,"""No Son of Mine""",Genesis,None,Group
69,"""Wildside""",Marky Mark and the Funky Bunch,Hip hop,Group
70,"""Do I Have to Say the Words?""",Bryan Adams,Pop rock,Male
71,"""Friday I'm in Love""",The Cure,Jangle poppop rockindie popalternative rock,Group
72,"""Everything About You""",Ugly Kid Joe,Pop-metal,Group
73,"""Blowing Kisses in the Wind""",Paula Abdul,Pop,Female
74,"""Thought I'd Died and Gone to Heaven""",Bryan Adams,None,Male
75,"""Rhythm Is a Dancer""",Snap!,Eurodance,Group
76,"""Addams Groove""",Hammer,Pop-rap,Male
77,"""Missing You Now""",Michael Bolton,None,Male
78,"""Back to the Hotel""",N2Deep,None,Group
79,"""Everything Changes""",Kathy Troccoli,None,Female
80,"""Have You Ever Needed Someone So Bad""",Def Leppard,Glam metal,Group
81,"""Take This Heart""",Richard Marx,None,Male
82,"""When I Look Into Your Eyes""",FireHouse,R&B,Group
83,"""I Wanna Love You""",Jade,R&B,Group
84,"""Uhh Ahh""",Boyz II Men,House,Group
85,"""Real Love""",Mary J. Blige,"R&B, new jack swing",Female
86,"""Justified and Ancient""",The KLF,New jack swing,Group
87,"""Slow Motion""",Color Me Badd,"Contemporary R&B, New Jack Swing, Pop",Group
88,"""What About Your Friends""",TLC,Pop,Group
89,"""Thinkin' Back""",Color Me Badd,CCM,Group
90,"""Would I Lie to You?""",Charles & Eddie,R&B,Group
91,"""That's What Love Is For""",Amy Grant,Hard rock,Female
92,"""Keep Coming Back""",Richard Marx,New jack swing,Male
93,"""Free Your Mind""",En Vogue,None,Group
94,"""Keep It Comin'""",Keith Sweat,CCMpop,Male
95,"""Just Take My Heart""",Mr. Big,House,Group
96,"""I Will Remember You""",Amy Grant,None,Female
97,"""We Got a Love Thang""",CeCe Peniston,"Hip hop, East Coast hip hop",Female
98,"""Let's Get Rocked""",Def Leppard,Pop,Group
99,"""They Want EFX""",Das EFX,,Group
100,"""I Can't Make You Love Me""",Bonnie Raitt,,Female
1,"""Physical""",Olivia Newton-John,Pop rockdance-poppost-disco,Female
2,"""Eye of the Tiger""",Survivor,Hard rock,Group
3,"""I Love Rock 'n Roll""",Joan Jett & The Blackhearts,Hard rock,Female
4,"""Ebony and Ivory""",Paul McCartney and Stevie Wonder,Pop,Male
5,"""Centerfold""",The J. Geils Band,Power poppop rock,Group
6,"""Don't You Want Me""",The Human League,New wave,Group
7,"""Jack & Diane""",John Cougar,Heartland rockhard rock,Male
8,"""Hurts So Good""",John Cougar,Pop rock,Male
9,"""Abracadabra""",Steve Miller Band,Pop rockelectronic rockfunk rocknew wave,Group
10,"""Hard to Say I'm Sorry""",Chicago,Soft rock,Group
11,"""Tainted Love""",Soft Cell,Northern soul,Group
12,"""Chariots of Fire""",Vangelis,"Electronic, film score, symphonic",Male
13,"""Harden My Heart""",Quarterflash,Rock,Group
14,"""Rosanna""",Toto,Yacht rockjazz rockpop rock,Group
15,"""I Can't Go for That (No Can Do)""",Hall & Oates,R&B,Group
16,"""867-5309/Jenny""",Tommy Tutone,Power pop,Group
17,"""Key Largo""",Bertie Higgins,Soft rock,Male
18,"""You Should Hear How She Talks About You""",Melissa Manchester,"New wave, pop rock, synth-pop, Contemporary R&B",Female
19,"""Waiting for a Girl Like You""",Foreigner,Soft rock,Group
20,"""Don't Talk to Strangers""",Rick Springfield,Power pop,Male
21,"""The Sweetest Thing (I've Ever Known)""",Juice Newton,"Country, pop",Female
22,"""Always on My Mind""",Willie Nelson,None,Male
23,"""Shake It Up""",The Cars,New wave,Group
24,"""Let It Whip""",Dazz Band,"Post-disco, funk",Group
25,"""We Got the Beat""",The Go-Go's,New wave,Group
26,"""The Other Woman""",Ray Parker Jr.,Pop rock,Male
27,"""Turn Your Love Around""",George Benson,"Pop, R&B, funk, smooth jazz",Male
28,"""Sweet Dreams""",Air Supply,Soft rock,Group
29,"""Only the Lonely""",The Motels,"New wave, pop rock",Group
30,"""Who Can It Be Now?""",Men at Work,Pop rocknew wave,Group
31,"""Hold Me""",Fleetwood Mac,Pop rock,Group
32,"""Eye in the Sky""",The Alan Parsons Project,Soft rock,Group
33,"""Let's Groove""","Earth, Wind & Fire",Post-discofunkpop,Group
34,"""Open Arms""",Journey,Soft rock,Group
35,"""Leader of the Band""",Dan Fogelberg,"Folk rock, soft rock",Male
36,"""Leather and Lace""",Stevie Nicks and Don Henley,None,Female
37,"""Even the Nights Are Better""",Air Supply,Soft rock,Group
38,"""I've Never Been to Me""",Charlene,Pop,Female
39,"""'65 Love Affair""",Paul Davis,"Pop rock, new wave",Male
